Term,Course,Section,CRN,Name,A,B,C,D,F,I,NR,S,U,V,W,Total,Class Size Group,Calculated GPA,Level
201305,AE 8900,QKA,56569,"Kardomateas,George",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,AE 8900,QMA,54363,"Mavris,Dimitri",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,AE 8900,QS1,56826,"Saleh,Joseph Homer",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,AE 8900,QSA,53483,"Sankar,Lakshmi N",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,AE 8900,QSE,56718,"Seitzman,Jerry M",,,,,,100%,,,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 8900,QWI,53626,"Wilhite,Alan W",,,,,,100%,,,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 8900,SMI,50375,"Smith,Marilyn J",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,AE 9000,AHU,50309,"Ahuja,Krishan K",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 9000,KOM,50323,"Komerath,Narayanan M",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 9000,QBR,54452,"Braun,Robert David",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 9000,SAL,53256,"Saleh,Joseph Homer",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,AE 9000,YU,56777,"Yu,Minfeng",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,APPH 2699,LW,55399,"Wheaton,Lewis A",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,APPH 2699,TB,51944,"Burkholder,Thomas J",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,APPH 4698,LW,56527,"Wheaton,Lewis A",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,APPH 4698,MS,56562,"Shinohara,Minoru",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,APPH 4698,RN,56853,"Nichols,T Richard",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,APPH 4699,BP,53113,"Priloutski,Boris I",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,APPH 9000,MS,53180,"Shinohara,Minoru",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,APPH 9000,RG,53347,"Gregor,Robert J",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,APPH 9000,TB,53181,"Burkholder,Thomas J",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,ARBC 3002,REG,56388,"Elbousty,Moulay Youness",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,ARBC 3813,R,56531,"Elbousty,Moulay Youness",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,ARBC 3813,R2,56852,"Elbousty,Moulay Youness",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,ARCH 4698,MS,55376,"Swarts,Matthew E.",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,ARCH 4903,MS,56753,"Swarts,Matthew E.",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,ARCH 7000,RD,54494,"Dagenhart,Richard L",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,ARCH 8903,C1,56944,"Rudolph,Charles F",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,ARCH 8903,EDJ,55934,"Dunham-Jones,Ellen",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,ARCH 8903,LH,56635,"Hollengreen,Laura Holden",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Graduate
201305,ARCH 8903,R,56147,"Dagenhart,Richard L",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Graduate
201305,ARCH 8903,TA,56846,"Al-Haddad,Tristan F",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,BC 4699,BA,56797,"Ashuri,Baabak",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BC 4900,DP,53852,"Phillips,Deborah Ann",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BC 4900,RBC,51579,"Keel,Thomas M",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Undergraduate
201305,BC 7000,BA,54269,"Ashuri,Baabak",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BC 8903,DC,53163,"Castro-Lacouture,Daniel",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Graduate
201305,BC 8903,KR,51371,"Roper,Kathy O",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BC 8997,RP,56624,"Porter,Richard Lee",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BC 9000,BA,56645,"Ashuri,Baabak",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 2698,LEA,56675,"Leavey,Jennifer Kraft",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BIOL 2699,STO,55088,"Storici,Francesca",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BIOL 2699,STR,52234,"Streelman,Jeffrey Todd",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BIOL 4698,DIC,51757,"DiChristina,Thomas J",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BIOL 4698,JIA,52665,"Jiang,Lin",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BIOL 4698,MER,51763,"Merrill,Alfred H",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BIOL 4698,TOR,56115,"Torres,Matthew P",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BIOL 4699,CHE,51771,"Chernoff,Yury O",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BIOL 4699,JIA,52666,"Jiang,Lin",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BIOL 4699,MER,51779,"Merrill,Alfred H",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BIOL 4699,STE,55557,"Stewart,Frank James",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BIOL 4699,STO,53572,"Storici,Francesca",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BIOL 4699,WEI,51784,"Weissburg,Marc J",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BIOL 4910,A,53392,"Choi,Jung Ho",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BIOL 7000,GAU,54403,"Gaucher,Eric Alexander",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 7000,KOS,55548,"Kostka,Joel E",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 8901,SNE,51722,"Snell,Terry W",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,BIOL 8901,VAN,55567,"Vannberg,Fredrik O",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,BIOL 8902,FAN,53073,"Fan,Yuhong",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,BIOL 8902,LOB,55072,"Lobachev,Kirill S",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,BIOL 8902,SHI,55266,"Shin,Chong Hyun",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,BIOL 8998,BOR,50456,"Borodovsky,Mark",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 8998,BOY,52684,"Boyan,Barbara D",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 8998,CHE,50463,"Chernoff,Yury O",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 8998,GAU,54239,"Gaucher,Eric Alexander",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 8998,KON,54507,"Konstantinidis,Konstantinos T",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 8998,KRE,53081,"Schmidt-Krey,Ingeborg",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 8998,SHI,55554,"Shin,Chong Hyun",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 8998,STR,52250,"Streelman,Jeffrey Todd",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 8998,VAN,55569,"Vannberg,Fredrik O",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 8998,WAR,50469,"Wartell,Roger M",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 8998,WTZ,53096,"Weitz,Joshua Stephen",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 8998,YI,52251,"Yi,Soojin",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 9000,BOR,50457,"Borodovsky,Mark",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 9000,BOY,52683,"Boyan,Barbara D",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 9000,DUF,54780,"Duffy,Meghan Anne",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 9000,FAN,53075,"Fan,Yuhong",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 9000,GAU,54599,"Gaucher,Eric Alexander",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 9000,SHI,55262,"Shin,Chong Hyun",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 9000,VAN,55570,"Vannberg,Fredrik O",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BIOL 9000,WEI,50478,"Weissburg,Marc J",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BMED 2698,BEL,56632,"Bellamkonda,Ravi Venkat",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BMED 2699,BAR,53802,"Barker,Thomas Harrison",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BMED 2699,DAV,55986,"Davis,Michael Elliot",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BMED 2699,LAM,55855,"Lam,Wilbur A",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BMED 2699,LEE,56674,"Lee,Robert",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BMED 3510,A,56869,"Benkeser,Paul J",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Undergraduate
201305,BMED 4698,BAO,53161,"Bao,Gang",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BMED 4698,BRB,53750,"Barabino,Gilda Ann",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BMED 4698,ETH,56677,"Ethier,Christopher Ross",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BMED 4698,GLE,53883,"Gleason Jr.,Rudolph Lawson",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BMED 4698,KEM,54415,"Kemp,Melissa Lambeth",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BMED 4698,LAM,55688,"Lam,Wilbur A",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BMED 4698,NER,56634,"Nerem,Robert M",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BMED 4699,ADR,56929,"Le Doux,Joseph M",,,,,,,100%,,,,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,BMED 4699,BOT,56849,"Botchwey,Edward A",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BMED 4699,ETH,56878,"Ethier,Christopher Ross",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Undergraduate
201305,BMED 4699,GRO,55361,"Le Doux,Joseph M",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BMED 4699,JO,56772,"Jo,Hanjoong",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BMED 4699,KEM,53558,"Kemp,Melissa Lambeth",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BMED 4699,MCD,52804,"McDevitt,Todd C",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Undergraduate
201305,BMED 4699,PLA,54404,"Platt,Manu Omar",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BMED 4699,RAI,56888,"Le Doux,Joseph M",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BMED 4699,WAN,52057,"Wang,Dongmei",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BMED 4699,XIA,56870,"Xia,Younan",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,BMED 7000,BOT,55861,"Botchwey,Edward A",,,,,,,100%,,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BMED 9000,AG,50427,"Garcia,Andres J",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BMED 9000,ASA,50429,"Sambanis,Athanassios",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BMED 9000,BOU,56019,"Boulis,Nicholas M",,,,,,,100%,,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BMED 9000,ECH,52082,"Chaikof,Elliot L",,,,,,,100%,,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BMED 9000,FEI,56015,"Fei,Baowei",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BMED 9000,GLD,53761,"Goldman,Daniel I",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BMED 9000,LTI,51381,"Ting,Lena H",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BMED 9000,MAL,53967,"Allen,Mark G",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BMED 9000,MLA,50435,"LaPlaca,Michelle C",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,BMED 9000,ROZ,54585,"Rozell,Christopher John",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 4698,HUN,51859,"Hunter,Michael P",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,CEE 4698,TEI,53335,"Teizer,Jochen",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,CEE 4699,CHE,54435,"Chen,Yongsheng",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,CEE 4699,FRO,51793,"Frost,James David",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,CEE 4699,PRO,53663,"Roberts,Philip J W",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,CEE 4699,WEB,51816,"Webster,Donald R",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,CEE 7000,AME,51427,"Amekudzi,Adjo Akpene",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 7000,JTS,51433,"Tsai,Yi-Chang James",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 7000,KAH,50232,"Kahn,Lawrence F",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 7000,KIM,51211,"Kim,Jaehong",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 7000,KUR,50233,"Kurtis,Kimberly E",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 7000,SAN,50240,"Santamarina,Juan C",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 7000,STU,50245,"Sturm,Terry W",,,,,,,100%,,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 7000,TRU,50239,"Russell,Armistead G",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 7000,WEB,50241,"Webster,Donald R",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 7000,WHI,51438,"White,Donald W",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 8900,ASI,52144,"Asimaki,Domniki",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,CEE 8900,GUE,50293,"Guensler,Randall L",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,CEE 8900,STU,51452,"Sturm,Terry W",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,CEE 8901,GUE,50282,"Guensler,Randall L",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,CEE 8901,SCO,56211,"Scott,David W",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201305,CEE 8902,LAV,56252,"Laval,Jorge A",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 8956,BRG,51518,"Bergin,Michael H",,,,,,,100%,,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 8956,KAH,50272,"Kahn,Lawrence F",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Graduate
201305,CEE 9000,ELL,51006,"Ellingwood,Bruce R",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 9000,FED,55409,"Fedele,Francesco G",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 9000,GEO,50250,"Georgakakos,Aris P",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 9000,MAY,50257,"Mayne,Paul W",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 9000,MUL,50259,"Mulholland,James A",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 9000,PAV,50260,"Pavlostathis,Spyros G",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 9000,SPA,52141,"Spain,Jim C",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 9000,SUR,56704,"Suryanarayana,Phanish",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CEE 9000,WEB,50265,"Webster,Donald R",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CETL 8000,COC,56770,"Venkateswaran,H",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CETL 8803,A,56572,"Utschig,Tristan T",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CETL 8803,B,56577,"Utschig,Tristan T",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201305,CHBE 2698,CAE,52737,"Eckert,Charles A",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,CHBE 2698,JC,56923,"Champion,Julie Anne",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,CHBE 4698,CWJ,52697,"Jones,Christopher W",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,CHBE 4698,ER,56708,"Reichmanis,Elsa",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,CHBE 4698,MD,54774,"Dawson,Michelle R",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,CHBE 4698,RMN,55789,"Nerem,Robert M",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,CHBE 4698,SBA,54759,"Allen,Sue Ann Bidstrup",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201305,CHBE 4699,AS,52213,"Sambanis,Athanassios",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201305,CHBE 4699,AST,52215,"Teja,Amyn S",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Undergraduate
201305,CHBE 4699,CLH,52184,"Henderson,Clifford L",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
