Term,Course,Section,CRN,Name,A,B,C,D,F,I,NR,S,U,V,W,Total,Class Size,Calculated GPA,Level
201308,AE 3051,F,84203,"Seitzman,Jerry M",50%,40%,10%,,,,,,,,,100%,Small (10-20 students),3.40,Undergraduate
201308,AE 3051,G,84666,"Seitzman,Jerry M",30%,40%,20%,10%,,,,,,,,100%,Small (10-20 students),2.90,Undergraduate
201308,AE 3051,A,80006,"Seitzman,Jerry M",45%,36%,9%,,,,,,,,9%,100%,Small (10-20 students),3.40,Undergraduate
201308,AE 3051,B,80453,"Seitzman,Jerry M",36%,45%,18%,,,,,,,,,100%,Small (10-20 students),3.18,Undergraduate
201308,AE 3051,D,82148,"Seitzman,Jerry M",42%,25%,17%,,17%,,,,,,,100%,Small (10-20 students),2.75,Undergraduate
201308,AE 3051,E,82641,"Seitzman,Jerry M",50%,50%,,,,,,,,,,100%,Small (10-20 students),3.50,Undergraduate
201308,AE 3125,A,84204,"Craig,James I",20%,32%,30%,11%,2%,,,,,,6%,100%,Very Large (50 students or more),2.61,Undergraduate
201308,AE 3145,E,83033,"Mello,Michael",50%,43%,,,,,,,,,7%,100%,Small (10-20 students),3.54,Undergraduate
201308,AE 3145,A,80455,"Mello,Michael",7%,73%,13%,,,,,,,,7%,100%,Small (10-20 students),2.93,Undergraduate
201308,AE 3145,B,80456,"Mello,Michael",33%,53%,7%,7%,,,,,,,,100%,Small (10-20 students),3.13,Undergraduate
201308,AE 3145,C,80457,"Mello,Michael",27%,53%,13%,,,,,,,,7%,100%,Small (10-20 students),3.14,Undergraduate
201308,AE 3145,D,82373,"Mello,Michael",67%,13%,13%,,,,,,,,7%,100%,Small (10-20 students),3.57,Undergraduate
201308,AE 3310,A,81832,"German,Brian J",24%,38%,25%,7%,,,,,,,5%,100%,Very Large (50 students or more),2.83,Undergraduate
201308,AE 3355,CLA,89473,"Clarke,John-Paul B",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 3355,MAV,84205,"Johnson,Carl C",100%,,,,,,,,,,,100%,Small (10-20 students),4.00,Undergraduate
201308,AE 3450,A,80003,"Ahuja,Krishan K",24%,44%,16%,9%,4%,,,,,,2%,100%,Large (31-49 students),2.77,Undergraduate
201308,AE 3450,B,82416,"Seitzman,Jerry M",15%,33%,30%,15%,,,,,,,7%,100%,Very Large (50 students or more),2.52,Undergraduate
201308,AE 3515,A,82249,"Theodorou,Evangelos",12%,19%,39%,19%,9%,,,,,,3%,100%,Very Large (50 students or more),2.05,Undergraduate
201308,AE 3521,B,83803,"Johnson,Eric N",40%,35%,20%,,,,,,,,5%,100%,Small (10-20 students),3.21,Undergraduate
201308,AE 3521,A,82056,"Tsiotras,Panagiotis",7%,20%,33%,22%,7%,,,,,,9%,100%,Very Large (50 students or more),1.98,Undergraduate
201308,AE 3801,A,80007,"Saleh,Joseph Homer",50%,,25%,25%,,,,,,,,100%,Very Small (Fewer than 10 students),2.75,Undergraduate
201308,AE 3801,SEI,87484,"Seitzman,Jerry M",89%,6%,3%,,3%,,,,,,,100%,Large (31-49 students),3.77,Undergraduate
201308,AE 4220,A,81833,"Hodges,Dewey H",35%,13%,17%,15%,6%,2%,,,,2%,10%,100%,Large (31-49 students),2.66,Undergraduate
201308,AE 4310,A,84206,"Braun,Robert David",10%,35%,33%,13%,6%,,,1%,,,3%,100%,Very Large (50 students or more),2.32,Undergraduate
201308,AE 4350,B,80458,"Weston,Neil R",52%,20%,8%,8%,8%,,,,,,4%,100%,Mid-size (21-30 students),3.04,Undergraduate
201308,AE 4350,A,80008,"Weston,Neil R",58%,21%,13%,4%,2%,,,,,,2%,100%,Large (31-49 students),3.32,Undergraduate
201308,AE 4355,CLA,89474,"Clarke,John-Paul B",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4355,MAV,84207,"Johnson,Carl C",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4356,IP,91485,"Gunter,Brian C",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4356,B,85031,"Gunter,Brian C",26%,59%,,4%,4%,,,,,,7%,100%,Mid-size (21-30 students),3.08,Undergraduate
201308,AE 4356,A,83306,"Gunter,Brian C",52%,43%,5%,,,,,,,,,100%,Large (31-49 students),3.48,Undergraduate
201308,AE 4358,A,85032,"Schrage,Daniel P",57%,30%,9%,4%,,,,,,,,100%,Mid-size (21-30 students),3.39,Undergraduate
201308,AE 4451,A,80009,"Sun,Wenting",16%,48%,23%,2%,4%,,,,,,7%,100%,Very Large (50 students or more),2.77,Undergraduate
201308,AE 4451,B,83802,"Scarborough,David",21%,34%,24%,10%,4%,1%,,,,,6%,100%,Very Large (50 students or more),2.60,Undergraduate
201308,AE 4525,C,82630,"Prasad,Jonnalagadda V R",20%,30%,50%,,,,,,,,,100%,Small (10-20 students),2.70,Undergraduate
201308,AE 4525,D,83705,"Prasad,Jonnalagadda V R",17%,42%,42%,,,,,,,,,100%,Small (10-20 students),2.75,Undergraduate
201308,AE 4525,A,82250,"Prasad,Jonnalagadda V R",20%,27%,53%,,,,,,,,,100%,Small (10-20 students),2.67,Undergraduate
201308,AE 4525,B,82256,"Prasad,Jonnalagadda V R",33%,40%,27%,,,,,,,,,100%,Small (10-20 students),3.07,Undergraduate
201308,AE 4525,E,90693,"Prasad,Jonnalagadda V R",33%,47%,7%,7%,7%,,,,,,,100%,Small (10-20 students),2.93,Undergraduate
201308,AE 4698,BRA,83976,"Braun,Robert David",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201308,AE 4698,FER,84267,"Feron,Eric Marie J",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201308,AE 4698,KOM,83398,"Komerath,Narayanan M",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201308,AE 4698,MAV,83413,"Mavris,Dimitri",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201308,AE 4698,RUZ,84007,"Ruzzene,Massimo",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201308,AE 4698,SAN,85917,"Sankar,Lakshmi N",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201308,AE 4698,ZIN,91611,"Zinn,Ben T",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201308,AE 4698,HOL,91361,"Holzinger,Marcus J",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201308,AE 4698,LIE,83399,"Lieuwen,Timothy Charles",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201308,AE 4698,PRI,89706,"Pritchett,Amy R",,,,,,,,,,100%,,100%,Very Small (Fewer than 10 students),N/A,Undergraduate
201308,AE 4699,FEI,86317,"Feigh,Karen M",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,GER,86318,"German,Brian J",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,KAR,84541,"Kardomateas,George",,,,,100%,,,,,,,100%,Very Small (Fewer than 10 students),0.00,Undergraduate
201308,AE 4699,SAL,86901,"Saleh,Joseph Homer",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,SAN,83337,"Sankar,Lakshmi N",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Undergraduate
201308,AE 4699,BRA,83278,"Braun,Robert David",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,COS,85629,"Costello,Mark Francis",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,GUN,91599,"Gunter,Brian C",50%,50%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.50,Undergraduate
201308,AE 4699,PRA,84356,"Prasad,Jonnalagadda V R",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,PRI,83962,"Pritchett,Amy R",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,RUF,83545,"Ruffin,Stephen M",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,SCH,83927,"Schrage,Daniel P",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,WAL,83813,"Walker II,Mitchell L.R.",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,AHU,85304,"Ahuja,Krishan K",67%,33%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.67,Undergraduate
201308,AE 4699,FER,84269,"Feron,Eric Marie J",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,LIE,84337,"Lieuwen,Timothy Charles",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,MEL,90855,"Mello,Michael",67%,,33%,,,,,,,,,100%,Very Small (Fewer than 10 students),3.33,Undergraduate
201308,AE 4699,SEI,84514,"Seitzman,Jerry M",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,ZIN,83932,"Zinn,Ben T",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,CLA,84270,"Clarke,John-Paul B",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,HOD,87546,"Hodges,Dewey H",75%,,,,,,,,,,25%,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,JAG,86400,"Jagoda,Jechiel",75%,,,,,,,,,,25%,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,HOL,91353,"Holzinger,Marcus J",80%,20%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.80,Undergraduate
201308,AE 4699,SCA,87453,"Scarborough,David",86%,,,,,,,,,,14%,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4699,KOM,83315,"Komerath,Narayanan M",91%,,,,9%,,,,,,,100%,Small (10-20 students),3.64,Undergraduate
201308,AE 4699,SPE,86316,"Spencer,David A",82%,14%,,,,,,,,,5%,100%,Mid-size (21-30 students),3.86,Undergraduate
201308,AE 4699,MAV,83288,"Mavris,Dimitri",100%,,,,,,,,,,,100%,Large (31-49 students),4.00,Undergraduate
201308,AE 4760,A,85611,"Cunefare,Kenneth A",50%,25%,,,,,,,,13%,13%,100%,Very Small (Fewer than 10 students),3.67,Undergraduate
201308,AE 4791,Q,84010,"Kalaitzidou,Kyriaki",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 4791,A,80010,"Kalaitzidou,Kyriaki",54%,15%,,,,,,8%,,8%,15%,100%,Small (10-20 students),3.78,Undergraduate
201308,AE 4802,SAL,90025,"Saleh,Joseph Homer",80%,,,,,,,,,,20%,100%,Very Small (Fewer than 10 students),4.00,Undergraduate
201308,AE 6009,Q,84853,"Sankar,Lakshmi N",86%,14%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.86,Graduate
201308,AE 6009,A,82586,"Sankar,Lakshmi N",89%,2%,2%,,,,,,,2%,5%,100%,Large (31-49 students),3.93,Graduate
201308,AE 6030,Q,90625,"Smith,Marilyn J",67%,11%,11%,,,11%,,,,,,100%,Very Small (Fewer than 10 students),3.63,Graduate
201308,AE 6030,A,90445,"Smith,Marilyn J",48%,13%,4%,,,,,4%,,13%,17%,100%,Mid-size (21-30 students),3.67,Graduate
201308,AE 6070,Q,82631,"Sankar,Lakshmi N",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 6230,A,83706,"Hodges,Dewey H",41%,16%,9%,,,,,3%,,6%,25%,100%,Large (31-49 students),3.48,Graduate
201308,AE 6251,A,89986,"Ruzzene,Massimo",75%,,,,,,,8%,,8%,8%,100%,Small (10-20 students),4.00,Graduate
201308,AE 6252,R,90740,"Hanagud,Sathyanaraya",100%,,,,,,,,,,,100%,Small (10-20 students),4.00,Graduate
201308,AE 6333,A,83091,"Schrage,Daniel P",77%,,,,,,,,,,23%,100%,Small (10-20 students),4.00,Graduate
201308,AE 6343,Q,84856,"Mavris,Dimitri",57%,14%,,,,,,,,,29%,100%,Very Small (Fewer than 10 students),3.80,Graduate
201308,AE 6343,A,83172,"Mavris,Dimitri",49%,39%,4%,,,,,,,6%,1%,100%,Very Large (50 students or more),3.48,Graduate
201308,AE 6353,Q,84789,"Holzinger,Marcus J",64%,18%,18%,,,,,,,,,100%,Small (10-20 students),3.45,Graduate
201308,AE 6353,A,84786,"Holzinger,Marcus J",65%,26%,6%,,,,,,,,3%,100%,Large (31-49 students),3.60,Graduate
201308,AE 6372,Q,83332,"Schrage,Daniel P",100%,,,,,,,,,,,100%,Small (10-20 students),4.00,Graduate
201308,AE 6372,A,83331,"Schrage,Daniel P",80%,6%,3%,,,,,,,3%,9%,100%,Large (31-49 students),3.87,Graduate
201308,AE 6373,Q,89987,"Mavris,Dimitri",67%,33%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.67,Graduate
201308,AE 6373,A,83330,"Mavris,Dimitri",85%,11%,2%,,,,,,,3%,,100%,Very Large (50 students or more),3.86,Graduate
201308,AE 6383,SCH,83334,"Schrage,Daniel P",82%,,,,,,,,,,18%,100%,Small (10-20 students),4.00,Graduate
201308,AE 6383,MAV,83333,"Mavris,Dimitri",98%,,,,,,,,,2%,,100%,Very Large (50 students or more),4.00,Graduate
201308,AE 6410,Q,89996,"Lieuwen,Timothy Charles",33%,67%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.33,Graduate
201308,AE 6410,A,89995,"Lieuwen,Timothy Charles",56%,28%,,,,,,,,17%,,100%,Small (10-20 students),3.67,Graduate
201308,AE 6451,A,89998,"Walker II,Mitchell L.R.",57%,19%,14%,,,,,5%,,,5%,100%,Mid-size (21-30 students),3.47,Graduate
201308,AE 6551,A,85728,"Feigh,Karen M",67%,22%,,,,,,,,,11%,100%,Very Small (Fewer than 10 students),3.75,Graduate
201308,AE 6761,A,87964,"Sabra,Karim G",25%,,,,,,,,,50%,25%,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 6765,Q,80459,"Jagoda,Jechiel",67%,33%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.67,Graduate
201308,AE 6765,A,80013,"Jagoda,Jechiel",47%,26%,23%,,,,,,,4%,,100%,Very Large (50 students or more),3.25,Graduate
201308,AE 7000,AHU,83810,"Ahuja,Krishan K",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,FER,84266,"Feron,Eric Marie J",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,MEL,90006,"Mello,Michael",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,QMA,91436,"Mavris,Dimitri",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,QSE,91554,"Seitzman,Jerry M",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,RIM,91294,"Rimoli,Julian Jose",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,TSI,81952,"Tsiotras,Panagiotis",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,ZIN,83481,"Zinn,Ben T",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,COS,84510,"Costello,Mark Francis",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,GER,86017,"German,Brian J",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,JOH,82227,"Johnson,Eric N",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,RUF,82819,"Ruffin,Stephen M",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,RUZ,82661,"Ruzzene,Massimo",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,SMI,83811,"Smith,Marilyn J",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,SPE,85820,"Spencer,David A",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,WAL,83943,"Walker II,Mitchell L.R.",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,CLA,84297,"Clarke,John-Paul B",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,HOL,90005,"Holzinger,Marcus J",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,MEN,81732,"Menon,Suresh",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,PRA,81723,"Prasad,Jonnalagadda V R",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,QWI,83563,"Wilhite,Alan W",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,KOM,83942,"Komerath,Narayanan M",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,PRI,81479,"Pritchett,Amy R",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,SCH,82223,"Schrage,Daniel P",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,LIE,82810,"Lieuwen,Timothy Charles",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,SAN,82796,"Sankar,Lakshmi N",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,FEI,86020,"Feigh,Karen M",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,BRA,83203,"Braun,Robert David",,,,,,,,100%,,,,100%,Very Small (Fewer than 10 students),N/A,Graduate
201308,AE 7000,JAG,81724,"Jagoda,Jechiel",,,,,,,,100%,,,,100%,Small (10-20 students),N/A,Graduate
201308,AE 7000,MAV,83475,"Mavris,Dimitri",,,,,,,,100%,,,,100%,Very Large (50 students or more),N/A,Graduate
201308,AE 8801,QMA,91206,"Mavris,Dimitri",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8801,MAV,91315,"Mavris,Dimitri",93%,,,,,,,,,7%,,100%,Small (10-20 students),4.00,Graduate
201308,AE 8802,SAL,90026,"Saleh,Joseph Homer",57%,,,,,,,,,14%,29%,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8803,QJ1,91196,"Jagoda,Jechiel",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8803,QSA,86520,"Sankar,Lakshmi N",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8803,FEI,91197,"Feigh,Karen M",50%,,,,,,,,,50%,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8803,GRI,91207,"Griendling,Kelly",88%,13%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.88,Graduate
201308,AE 8803,PRI,83929,"Pritchett,Amy R",,,,,,,,100%,,,,100%,Small (10-20 students),N/A,Graduate
201308,AE 8803,COS,90000,"Costello,Mark Francis",77%,15%,,,,,,,,,8%,100%,Small (10-20 students),3.83,Graduate
201308,AE 8803,RIM,88658,"Rimoli,Julian Jose",64%,27%,,,5%,,,,,,5%,100%,Mid-size (21-30 students),3.52,Graduate
201308,AE 8803,HAD,90001,"Haddad,Wassim M",9%,27%,6%,3%,6%,,,,,6%,42%,100%,Large (31-49 students),2.59,Graduate
201308,AE 8883,KOM,91005,"Komerath,Narayanan M",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8900,FEI,86022,"Feigh,Karen M",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8900,GER,86019,"German,Brian J",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Graduate
201308,AE 8900,QBR,85232,"Braun,Robert David",,100%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Graduate
201308,AE 8900,QWI,85245,"Wilhite,Alan W",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8900,RUF,80577,"Ruffin,Stephen M",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8900,RUZ,82662,"Ruzzene,Massimo",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8900,SAL,85513,"Saleh,Joseph Homer",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8900,MEN,80574,"Menon,Suresh",50%,,50%,,,,,,,,,100%,Very Small (Fewer than 10 students),3.00,Graduate
201308,AE 8900,QPR,84415,"Prasad,Jonnalagadda V R",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8900,SMI,80581,"Smith,Marilyn J",50%,,,,,50%,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8900,YAN,86320,"Yang,Vigor",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8900,ZIN,80584,"Zinn,Ben T",50%,50%,,,,,,,,,,100%,Very Small (Fewer than 10 students),3.50,Graduate
201308,AE 8900,BRA,83176,"Braun,Robert David",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8900,QMA,84361,"Mavris,Dimitri",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8900,QSA,83888,"Sankar,Lakshmi N",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8900,JAG,80570,"Jagoda,Jechiel",100%,,,,,,,,,,,100%,Very Small (Fewer than 10 students),4.00,Graduate
201308,AE 8900,MAV,80573,"Mavris,Dimitri",100%,,,,,,,,,,,100%,Small (10-20 students),4.00,Graduate
